
		Copies and Copyright-Notice

User is not entitled to change or erase data sets of the RegulonDB
database or to eliminate copyright notices from RegulonDB. Furthermore,
User is not entitled to expand RegulonDB or to integrate RegulonDB partly
or as a whole into other databank systems, without prior written consent
from CCG-UNAM.

Citation

User is committed to cite properly the use of RegulonDB. The current most
update publication concerning RegulonDB is:
Socorro Gama-Castro, Verónica Jiménez-Jacinto, Martin Peralta-Gil,
Alberto Santos-Zavaleta, Monica I. Peñaloza-Spindola, Bruno Contreras-Moreira,
Juan Segura-Salazar, Luis Muñiz-Rascado, Irma Martínez-Flores, Heladia Salgado,
César Bonavides-Martínez, Cei Abreu-Goodger, Carlos Rodriguez-Penagos, Juan Miranda-Rios,
Enrique Morett, Enrique Merino, Araceli M. Huerta, Luis Treviño-Quintanilla and Julio Collado-Vides.
"RegulonDB (Version 6.0): gene regulation model of Escherichia coli K-12 
beyond transcription, active (experimental) annotated promoters and textpresso navigation"
Nucleic Acids Research, 2008, vol 36.  D120-D124

Release: 6.3 Date: 30-JAN-09
_________________________________________________________________________________

Columns:
	(1) Gene identifier assigned by RegulonDB
	(2) Gene name 
	(3) Blattner number (bnumber) of the gene
	(4) Gene left end position in the genome
	(5) Gene right end position in the genome
	(6) DNA strand where the gene is coded
	(7) Product name of the gene
ECK120001251	thrL	b0001	190	255	forward	thr operon leader peptide
ECK120000987	thrA	b0002	337	2799	forward	ThrA
ECK120000988	thrB	b0003	2801	3733	forward	ThrB
ECK120000989	thrC	b0004	3734	5020	forward	threonine synthase
ECK120002701	yaaX	b0005	5234	5530	forward	predicted protein
ECK120000009	yaaA	b0006	5683	6459	reverse	conserved protein
ECK120001508	yaaJ	b0007	6529	7959	reverse	YaaJ alanine AGSS transporter
ECK120001509	talB	b0008	8238	9191	forward	transaldolase B
ECK120001467	mog	b0009	9306	9893	forward	predicted molybdochelatase
ECK120001468	yaaH	b0010	9928	10494	reverse	conserved inner membrane protein associated with acetate transport
ECK120002702	yaaW	b0011	10643	11356	reverse	conserved protein
ECK120001465	htgA	b0012	10830	11315	forward	predicted DNA-binding transcriptional regulator
ECK120004453	yaaI	b0013	11382	11786	reverse	predicted protein
ECK120000235	dnaK	b0014	12163	14079	forward	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins
ECK120002604	tpke11		14080	14168	forward	Tpke11 small RNA
ECK120000234	dnaJ	b0015	14168	15298	forward	chaperone with DnaK; heat shock protein
ECK120002703	insL-1	b0016	15445	16557	forward	IS186/IS421 transposase
ECK120002704	Phantom Gene		15869	16177	reverse	
ECK120000366	mokC	b0018	16751	16960	reverse	regulatory peptide whose translation enables hokC (gef) expression
ECK120002652	hokC	b4412	16751	16903	reverse	HokC, Gef toxin; interferes with membrane function when in excess
ECK120002653	sokC	b4413	16952	17006	forward	antisense RNA blocking mokC and hokC translation
ECK120000645	nhaA	b0019	17489	18655	forward	NhaA
ECK120001066	nhaR	b0020	18715	19620	forward	NhaR transcriptional activator
ECK120023911	insAB-1		19810	20508	reverse	InsAB' transposase
ECK120002705	insB-1	b0021	19811	20314	reverse	IS1 protein InsB
ECK120002706	insA-1	b0022	20233	20508	reverse	IS1 protein InsA
ECK120000910	rpsT	b0023	20815	21078	reverse	30S ribosomal subunit protein S20
ECK120002707	yaaY	b0024	21181	21399	forward	predicted protein
